text,complexity,domain,severity,tone,resolution_hint,requires_onsite
Packet loss and latency issues with our WAN connection causing data corruption,moderate,networking,high,frustrated,Investigate network equipment or circuit-level issues for packet corruption,false
"I'm trying to access our company's VPN but it keeps dropping connections after 10 minutes. I've tried restarting my laptop and router, but the issue persists.",moderate,networking,medium,frustrated,Verify DNS settings and potential firewall conflicts.,false
"I'm having trouble reaching our corporate email server from home. It says the domain doesn't exist, but I know it's correct.",moderate,networking,high,panicked,Check DNS records and potential routing issues.,false
"Our company's WiFi is super slow today. I've tried restarting the router, but it didn't help.",moderate,networking,medium,calm,Check for nearby interference and optimize WiFi settings.,false
I'm experiencing packet loss on our company's WAN connection. It's causing our database to timeout frequently.,moderate,networking,high,urgent,Verify network architecture and optimize routing for maximum throughput.,false
"I'm having trouble accessing our company's internal server from my workstation. It says 'access denied'. I've tried restarting everything, but it doesn't work.",moderate,networking,medium,frustrated,Check VLAN assignments and access control lists.,false
Having issues with WiFi at our office. Some devices can't connect and others are dropping signal frequently. Please help!,moderate,networking,medium,frustrated,Check router logs for dropped connections and adjust WiFi settings,false
"My VPN connection keeps timing out on my laptop. I've tried restarting it but no luck. Also, our external IP is unreachable from inside the network.",moderate,networking,high,urgent,Verify VPN server status and check for any firewall restrictions on the external IP,false
We're experiencing packet loss on our WAN connection. It's affecting 3 users who are trying to access a cloud-based app. Any idea why this is happening?,moderate,networking,medium,calm,Check WAN link quality and verify any routing configuration changes,false
"I'm trying to set up a new VLAN for our marketing team, but I'm getting errors when adding the new subnet. It's saying it already exists. Any help would be appreciated.",moderate,networking,medium,confused,Verify existing VLAN configurations and check for overlapping subnets,false
"I'm having trouble accessing a file share on our LAN. It's saying the server is unreachable. I've tried restarting my device, but no luck.",moderate,networking,high,frustrated,Check DNS resolution for the file share server and verify network connectivity,false
"Having issues with VPN connecting on client laptops. Keeps saying 'no internet access'. Tried restarting it several times, but still not working.",complex,networking,high,frustrated,Check VPN server logs for recent disconnects and errors.,false
"Need help with DNS resolution on our production servers. Names look like they're not being resolved correctly. Multiple services affected, can't get accurate timestamps.",complex,networking,critical,urgent,Verify DNS server configuration and zone transfers with the upstream provider.,false
"WiFi on our main floor is dropping connections every 10 minutes. It's affecting all users, including customers. Can't seem to find any pattern or error logs that help.",complex,networking,high,frustrated,Check AP power levels and channel utilization. Consider switching to a different frequency.,false
"We're experiencing packet loss on our high-priority app server, causing data corruption and errors. Our network team tried troubleshooting VLAN configurations, but no luck.",complex,networking,critical,panicked,Verify VLAN trunk configurations and inspect packet captures for dropped packets.,false
"Our firewall rules are causing some unexpected blocking. We have multiple services being impacted, including our company's online portal. Need help reviewing the config to make it more permissive.",complex,networking,high,confused,Review firewall logs and rule sets to identify and relax unnecessary restrictions.,false
"We have multiple users reporting intermittent VPN connections dropping every hour. Users are saying they're seeing packet loss and latency issues. Our firewall logs show no unusual traffic or blocked requests. We've tried restarting the VPN server, but it doesn't seem to be helping.",complex,networking,critical,frustrated,Investigate DNS resolution issues and check for packet fragmentation.,false
"We're experiencing connectivity issues on our main LAN. Users are reporting slow speeds, dropped connections, and errors receiving packets. Our network team thinks it might be related to a recent VLAN configuration change. Can someone help us troubleshoot the issue? We have around 50 users affected.",complex,networking,high,calm,Verify VLAN settings and check for routing anomalies.,false
"We're having a crisis here! Our main WiFi network is down, and all our production users are affected. We can't even access the Internet. We tried restarting the APs and switching to the backup router, but nothing's working. Can someone please help us get this resolved ASAP?!",complex,networking,critical,panicked,Check for issues with the primary DNS server and verify WiFi configuration.,false
"Our users are experiencing difficulty connecting to our extranet VPN. They're getting 'connection timed out' errors, even after restarting their clients. We've checked the firewall rules and VPN configuration, but can't find any issues. Any ideas on what might be causing this? We have around 20 users affected.",complex,networking,high,confused,Check for DNS resolution issues and verify VPN client configuration.,false
"We're having trouble troubleshooting a strange routing issue. Users are reporting that some internal IP addresses are being routed to the wrong subnets. We've tried updating our router configurations, but it's not making any difference. Can someone help us figure out what's going on and how to fix it? We have about 15 users affected.",complex,networking,critical,frustrated,Investigate routing table inconsistencies and verify IP address mapping.,false
I'm trying to VPN into our office network but it keeps dropping after 2 minutes. We have over 100 users relying on this for remote work. Can you please help? It's impacting productivity significantly.,complex,networking,critical,frustrated,Verify VPN server connection and potential firewall restrictions.,false
"Our company WiFi is down across multiple locations. It's been 30 minutes since it went out and our sales team is struggling to stay connected. I'm the IT manager on site, but I'm stumped. Please assist ASAP.",complex,networking,high,urgent,Check WiFi controller and potential rogue AP issues.,false
"We're experiencing packet loss on our VoIP calls, affecting 20+ users. Our phones are down and customers are getting frustrated. I've tried restarting the PBX but it didn't help. Can someone senior come take a look?",complex,networking,high,frustrated, Investigate router configuration and potential QoS issues.,false
"Our internal DNS is resolving incorrectly, causing all sorts of issues with our database queries. We have 10+ users affected and it's affecting productivity badly. I've tried flushing the cache but nothing changed. Please help ASAP.",complex,networking,critical,urgent,Verify DNS server configuration and potential zone issues.,false
"Our main office router is dropping packets, causing latency on our video conferencing systems. We have 50+ users affected and it's a major business continuity issue. I've tried resetting the router but nothing changed. Can someone please come and help?",complex,networking,high,frustrated,Check router configuration and potential firmware issues.,false
I'm getting errors setting up my VPN connection at home. It worked yesterday but now I get 'no route to host' every time. Please help.,complex,networking,high,frustrated,Verify DNS resolution and firewall settings.,false
We're experiencing packet loss on our LAN connection at the office. It's affecting multiple users and causing productivity issues. We've tried restarting the router but the issue persists.,complex,networking,critical,urgent,Check VLAN configuration and ensure correct trunking settings.,false
My WiFi is super slow today. I've tried restarting the router and modem but nothing's working. I have 10 employees waiting for me to get this fixed.,complex,networking,high,panicked,Investigate DNS resolution issues and verify WiFi settings.,false
"We're experiencing routing issues on our WAN connection. The issue seems to be intermittent, but it's affecting a few critical servers. We've tried restarting the router but it didn't fix the problem.",complex,networking,critical,calm,Check WAN configuration and ensure correct routing tables.,false
I'm having trouble connecting to our office's WiFi. It keeps asking me for authentication credentials even though I've tried logging in multiple times. This is affecting 15 users trying to access the network.,complex,networking,high,frustrated,Verify WiFi SSID and authentication settings.,false
Having issues with VPN connection on remote site. Users complaining of slow speeds and dropped calls. Investigated DNS settings but still not working. Production impact is huge.,complex,networking,critical,frustrated,Check VPN server logs for errors and reconfigure DNS settings accordingly.,false
"Firewall rules not allowing traffic between VLAN 10 and 20. Trying to access shared storage but getting permission denied. Tried updating firewall config, still no go.",complex,networking,high,calm,Verify firewall rule syntax and ensure correct VLAN IDs are used.,false
Routed VPN connection between HQ and remote site not working. Users reporting packet loss and disconnections. Tried reconfiguring router settings but still no success.,complex,networking,critical,urgent,Check routing tables for any discrepancies and verify VPN tunnel is established properly.,false
WiFi network down on floor 3. Users can't access internet or company resources. Investigated but no issues found with router or APs. Still doesn't work after rebooting.,complex,networking,high,panicked,Check network switches for any configuration errors or faulty ports causing the issue.,false
LAN traffic not being routed correctly. Certain subnets not accessible from other offices. Tried reconfiguring routing tables but still no success. Users reporting issues with file sharing.,complex,networking,critical,frustrated,Verify router configurations and check for any duplicate subnet IDs causing the issue.,false
I'm having trouble connecting my USB drive to my laptop. I've tried different ports and it doesn't seem to work.,simple,hardware,low,frustrated,Try using a different USB port or restarting your computer.,true
"My keyboard is not responding properly, it keeps typing extra characters and I'm getting really annoyed!",simple,hardware,medium,frustrated,Try restarting your computer or switching to a different keyboard.,true
I just got my new monitor and I'm having trouble setting up the dual monitor display on my desktop.,simple,hardware,low,calm,Check your display settings or consult the monitor's manual for guidance.,true
I tried to print a document but my printer is not responding. It just says 'offline' no matter what I do!,simple,hardware,medium,urgent,Try restarting your printer or checking the paper jam.,true
I'm having trouble getting my desktop to recognize my new keyboard. It's just not registering keystrokes.,simple,hardware,low,confused,Try restarting your computer or switching USB ports for the keyboard.,true
My laptop won't turn on this morning. I left it plugged in and charging overnight like always. Could you please help me figure out what's wrong?,simple,hardware,low,frustrated,Check the power cord and battery level.,true
I'm trying to print a report but my printer won't recognize the USB drive. It was working fine yesterday. Any ideas?,simple,hardware,medium,calm,Try unplugging and replugging the USB drive.,true
Help! My monitor won't turn on. I was using it just fine this morning but now it's dead. Is it a power supply issue?,simple,hardware,low,panicked,Check the power cord and try a different outlet.,true
I just got a new keyboard and it's not recognizing some of my keys. Any ideas what's going on?,simple,hardware,low,confused,Try resetting the keyboard settings.,true
"My desktop is really slow and freezing a lot. I just got some new software installed, could that be the cause?",simple,hardware,medium,frustrated,Try closing unnecessary programs to free up resources.,true
My laptop won't turn on. I was in the middle of writing an essay and now it's dead.,simple,hardware,low,frustrated,Check power cord and try booting in safe mode.,True
Printer not printing. It says it's out of paper but I know it's not. Stuck on one page!,simple,hardware,medium,urgent,Check printer queue and clear any stuck documents.,True
Mouse stopped working. Just stopped moving when I was playing games with my son.,simple,hardware,low,calm,Try swapping USB ports or restarting computer.,True
Keyboard keys are stuck. I spilled water on it and now the 'F' key won't work.,simple,hardware,low,frustrated,Clean keyboard with compressed air and check for any debris.,True
"Monitor not turning on. It's been working fine, just suddenly went dark.",simple,hardware,low,confused,Try plugging monitor into a different outlet or switching cables with another device.,True
"my laptop keyboard isn't working properly, keys are stuck",simple,hardware,medium,frustrated,clean the keyboard with compressed air and a soft cloth,true
help my printer is jammed again! i've tried restarting it but nothing works,simple,hardware,low,frustrated,try removing the paper tray and re-feeding the paper from the correct side,true
"my monitor won't turn on even when i've plugged it in, any ideas?",simple,hardware,medium,calm,try swapping the power cord or resetting the monitor settings,true
"my external hard drive isn't recognized by my computer, what's going on?",simple,hardware,low,confused,try re-plugging the USB cable or using a different port,true
"i'm having trouble getting my laptop to recognize my wireless mouse, please help!",simple,hardware,medium,urgent,try restarting the mouse or reinstalling the receiver software,true
my keyboard isn't working right. keys are sticking and not registering sometimes. what's going on?,simple,hardware,medium,frustrated,clean the keyboard with compressed air,true
can you help me troubleshoot why my printer won't print in color? it was working fine yesterday...,simple,hardware,low,calm,check the printer settings and drivers for updates,true
"my desktop's USB ports are all messed up. nothing is working - mouse, keyboard, flash drive... what's going on?",simple,hardware,medium,frustrated,try a different USB port or reset the USB controller,true
i have a new monitor that won't turn on. it worked yesterday and i didn't touch anything... HELP!,simple,hardware,urgent,panicked,check the power cord and any loose connections,true
"my laptop's screen is all distorted - lines are wavy, colors are off... what can i do to fix it?",simple,hardware,low,confused,try updating the graphics drivers or adjusting the display settings,true
"My laptop screen is all weird and fuzzy, what's going on?!",simple,hardware,low,frustrated,Try restarting your laptop.,true
My printer won't print in color. Help!,simple,hardware,medium,calm,Check your printer settings for color options.,true
I just got a new keyboard and it's not typing correctly!,simple,hardware,low,frustrated,Try adjusting your keyboard settings or resetting.,true
My monitor won't turn on. It just shows a blank screen!,simple,hardware,medium,panicked,Try plugging your monitor into another power source.,true
"I'm trying to connect my phone via USB, but it's not recognized!",simple,hardware,low,confused,Try updating your USB drivers or restarting.,true
my mouse is not moving on my desktop,simple,hardware,low,frustrated,Check USB connection and restart device,true
i need help with connecting my printer to wifi,simple,hardware,medium,calm,Ensure printer is on same network as device and try reconnecting,true
my laptop keyboard is sticky and wont type correctly,simple,hardware,low,frustrated,Try cleaning keyboard with compressed air and gentle brush,true
"i cant get my monitor to turn on, it just says no signal",simple,hardware,medium,urged,Check power cord and try replacing if faulty,true
my external hard drive wont connect to my desktop via usb,simple,hardware,low,confused,Try switching USB ports and ensuring device is properly ejected,true
"My laptop won't turn on, I think it's dead, please help",moderate,hardware,high,frustrated,Check power cord and battery,true
"Printer's not printing in color, just black and white. Tried restarting it but no luck",moderate,hardware,medium,calm,Check print settings and driver updates,true
"My USB keyboard is stuck on caps lock, I've tried switching it off and back on but nothing's working",moderate,hardware,medium,frustrated,Try pressing the FN key combination to reset,true
"Monitor won't turn on, tried plugging it into a different outlet but still nothing. Can you help?",moderate,hardware,high,urgent,Check power cord and outlet availability,true
Three of our desktops are having issues with the mouse not working properly. Tried restarting them but didn't help,moderate,hardware,medium,calm,Check for loose connections and driver updates,true
My laptop keyboard is stuck again! I've tried restarting it and cleaning the keys but nothing works. Now my screen flickers too.,moderate,hardware,medium,frustrated,Try booting in safe mode to isolate keyboard driver issue,true
I'm having trouble connecting my USB speaker to my desktop. It's not recognized by the system and I've checked all cables.,moderate,hardware,medium,calm,Try updating USB drivers or disabling any power management settings,true
Our office printer keeps jamming and we can't get it to work. It's really impacting our workflow.,moderate,hardware,high,urgent,Check printer queue status and try restarting the print spooler service,true
I have multiple users complaining that their monitor screens are dimmed. It started happening after we updated our display settings.,moderate,hardware,medium,confused,"Check monitor brightness settings and adjust as needed, or try updating display drivers",true
"My coworker's laptop won't wake up from sleep mode. We've tried restarting it, but nothing works.",moderate,hardware,high,panicked,Try disabling power management settings or updating sleep mode drivers,true
"Having issues with my ThinkPad laptop. When I plug in my USB headset it doesn't recognize the mic. It's been working fine for months. Now, it just stops recognizing it. Please help.",moderate,hardware,high,frustrated,Verify USB device driver and settings.,true
"Printer not printing properly. It keeps saying 'out of paper' even though it's not. I've tried restarting it and checking the toner levels, but nothing works.",moderate,hardware,medium,calm,Check printer queue and paper jam indicator.,true
"My work desktop won't wake up from sleep mode. It just stays black with the fans running. I've tried restarting it, but that doesn't help. Any ideas?",moderate,hardware,high,urgent,Check power settings and BIOS settings.,true
My monitor keeps going dark on me. It's happening multiple times a day. I've checked the cable and it's fine. Any ideas why this is happening?,moderate,hardware,medium,confused,Verify monitor settings and video input.,true
"Keyboard not responding properly. Keys are sticking together and some don't register at all. I've tried cleaning it, but that didn't help.",moderate,hardware,high,frustrated,Check keyboard settings and driver updates.,true
My laptop won't turn on this morning. I've tried charging it overnight but still nothing. It was working fine yesterday. Any ideas?,moderate,hardware,medium,frustrated,Check AC adapter and cable for damage or issues.,true
Can't print from my desktop. Keeps saying 'out of paper' even though it's not. Tried resetting printer but still no go.,moderate,hardware,high,frustrated,Check printer settings and paper tray alignment for issues.,true
Just got my new monitor and the picture is all wonky. It's not adjusting to my laptop screen right? Help!,moderate,hardware,medium,confused,Check display settings on both devices for compatibility issues.,true
My keyboard stopped working after installing that new software. Now nothing works. Please fix it!,moderate,hardware,high,panicked,Try uninstalling the software or updating drivers to resolve issue.,true
"I'm getting a 'no device found' error when trying to connect my USB drive. I've tried multiple drives and devices, nothing works.",moderate,hardware,medium,calm,Check USB ports for damage or issues with device recognition.,true
"I've got a desktop with Windows 10 and suddenly my keyboard isn't responding at all. Sometimes the mouse freezes too. I just installed a new graphics driver yesterday, could that be the issue?",moderate,hardware,medium,frustrated,Revert graphics driver update and check for conflicts.,true
"Printer won't print in color, just black and white. I've checked the ink levels and they're all good. Can you help me get it working right?",moderate,hardware,medium,calm,Check printer settings for color mode restriction.,true
Urgent! My monitor went dark and won't turn back on. I was in the middle of a project and this is really messing me up. Please help ASAP!,moderate,hardware,high,urgent,"Check power cord, monitor settings, or recent software updates.",true
I have 5 users trying to use the same printer and it's really slow. Sometimes it gets stuck on a document too. Any ideas on how to improve performance?,moderate,hardware,medium,confused,Update printer firmware or adjust print queues.,true
"USB hub on my desk is causing issues. When I plug in a new device, it sometimes doesn't recognize it. Other times the wrong devices show up. Can you help me troubleshoot?",moderate,hardware,medium,frustrated,Try swapping out USB cables and hubs to identify faulty hardware.,true
My laptop's keyboard is acting up again. The 'e' key won't register and the cursor jumps around when I'm typing. Help!,moderate,hardware,medium,frustrated,Check for stuck or damaged keys.,true
"We have a printer issue at our office. The ink levels are showing zero, but we've only printed a few pages. What's going on?",moderate,hardware,medium,calm,Restart the printer and check for stuck cartridges.,true
"My USB hub is not working. I have 3 devices plugged in, but only one is recognized. Help! Can't work like this...",moderate,hardware,high,urgent,Try a different USB port or replace the hub.,true
I'm having trouble with my monitor's brightness. The image is all washed out. Is there a way to fix this without calling IT?,moderate,hardware,medium,confused,Adjust the display settings or check for loose cables.,true
Our keyboard and mouse are not working on our desktop. It's like they're disconnected. Any ideas?,moderate,hardware,medium,panicked,Try swapping the USB ports or checking for loose connections.,true
"Having issues with my work laptop. It's slow, freezing often, and the keyboard is unresponsive at times. Tried restarting it but no luck.",moderate,hardware,high,frustrated,Run disk cleanup and check for software updates,true
"Printer won't print in color. It says it's out of toner, but the yellow cartridge is almost full. Help! I have a project deadline.",moderate,hardware,medium,urgent,Check printer settings and ensure correct color mode selected,true
My desktop's monitor won't turn on. It just went black while I was working. Any ideas what might be wrong?,moderate,hardware,high,panicked,"Check power cord and monitor settings, try booting in safe mode",true
I'm trying to use my new USB hub but it's not recognizing any of my devices. What's the issue?,moderate,hardware,medium,calm,Check USB port configuration and try swapping ports,true
My keyboard is randomly dropping characters when I type. It's super frustrating! Help!,moderate,hardware,high,frustrated,Try cleaning the keyboard and updating drivers,true
Laptop not booting after software update. Was working fine yesterday. Can't access files or emails. Tried restarting and nothing works. Please help!,complex,hardware,high,frustrated,Verify software update log and check for any conflicts.,true
We're experiencing issues with multiple printers on the network. They're all out of paper and not responding to printer commands. Can you please help us troubleshoot this?,complex,hardware,critical,urgent,Check printer firmware and update if necessary.,true
"Our desktops are freezing every hour or so. We're using multiple monitors and peripherals, but I'm not sure if it's related to the USB hub or something else. Can you help us figure out what's going on?",complex,hardware,high,confused,Try swapping out the USB hub and see if issue persists.,true
Keyboards not functioning properly. We're getting weird characters on screen and it's affecting our workflow. Please help us fix this ASAP!,complex,hardware,high,frustrated,Check for stuck keys or damaged keyboard membranes.,true
"We're having issues with monitor connectivity. Some monitors are not recognizing the desktops, while others are fine. It's affecting our entire team. Please help us resolve this!",complex,hardware,critical,panicked,Check monitor settings and video cables for any issues.,true
Our entire team is experiencing issues with their laptops freezing up randomly. We've tried restarting and updating drivers but the problem persists.,complex,hardware,critical,frustrated,Check power management settings for conflicting wake-up events,true
Help! I'm trying to troubleshoot a printer issue where it's not recognizing our new USB keys. Multiple machines are affected.,complex,hardware,high,urgent,Verify compatibility of USB drivers across all systems and update as needed,true
"We've got a desktop going haywire. It's running extremely slow, fans are loud, and it keeps crashing. Can you please assist?",complex,hardware,critical,panicked,Run a thorough disk check and consider re-seating RAM modules to resolve instability,true
"Our keyboard and mouse combo is malfunctioning. It's been happening sporadically for weeks, but today it's driving me nuts.",complex,hardware,high,frustrated,Reset device settings to default and try updating drivers if issues persist,true
Multiple monitors are displaying incorrect video output after upgrading our software. Is this a hardware or driver issue?,complex,hardware,high,confused,Verify graphics card compatibility and update drivers to resolve display issues,true
Our entire marketing team is stuck on laptops due to weird keyboard issues. Can't type anything past the 'e' key. Tried restarting and updating drivers. Anyone else experiencing this?,complex,hardware,critical,frustrated,Check keyboard settings for stuck keys or faulty keyboards,true
We're on the brink of a major software deadline and our main workstation's monitor is flickering like crazy. We've tried replacing the GPU but it doesn't help.,complex,hardware,high,urgent,Investigate firmware or hardware issues causing display problems,true
"One of our production servers is experiencing random freezes, causing us to lose work and miss deadlines. We've tried updating the BIOS and running disk checks.",complex,hardware,critical,panicked,Check for hardware issues affecting server stability or performance,true
"Multiple users are complaining that their printers won't print in color, even after reinstalling drivers. We've tried resetting the network settings and adjusting printer preferences.",complex,hardware,high,confused,Check printer settings or firmware for issues causing color printing problems,true
"Our entire team is experiencing USB connectivity issues. Laptops and desktops can't recognize external hard drives, and our favorite peripherals are unusable.",complex,hardware,critical,frustrated,Investigate USB port or controller issues causing connectivity problems,true
I have multiple users complaining that their laptops are freezing every hour on the dot since we implemented the new software update. Desktops affected too. Can't figure out why this is happening and it's impacting production.,complex,hardware,critical,frustrated,Check system logs for concurrent processes causing hangs.,True
"Our new printer won't print in color anymore after we installed the latest firmware. It was working fine yesterday, and I've tried restarting it a few times but nothing's changing. Please help!",complex,hardware,high,calm,Check printer settings for color mode configuration.,True
Our entire team is having issues with their keyboards and mice not registering any input. It's like our peripherals just stopped working! We're trying to meet a tight deadline and this is super frustrating.,complex,hardware,high,frustrated,Check USB ports for dust or debris causing connectivity issues.,True
"We're experiencing intermittent monitor issues where the screen goes black and comes back after a minute or so. This is happening on multiple monitors across our office, so it's not just one system.",complex,hardware,critical,urgent,Check power cord connections and ensure adequate power supply.,True
"One of our desktops won't turn on, but the other one is fine. We just got it yesterday, so I'm hoping it's not a hardware issue? Could be related to software installation though... need help figuring out what's going on.",complex,hardware,high,confused,Check power supply and BIOS settings for any unusual configurations.,True
